endpoint,max_abs_w_shift,max_rel_w_shift,max_matched,min_matched
lambda1_start_expansion96_s388_cont120000,0.07188500253280239,0.0416811069787227,1.890076424076682,1.0943322605108676
lambda1_start_expansion96_s389_cont120000,0.06536878434737758,0.03671424945833477,1.8835605423970745,1.102997385179704
lambda1_start_expansion96_s390_cont120000,0.07028998223861294,0.04135497419762984,1.8884814861513748,1.1078518960467227
lambda1_start_expansion96_s391_cont120000,0.07738726204507285,0.047694542887636845,1.8929971392520095,1.0991350634169144
lambda1_start_expansion96_s392_cont120000,0.0827971824797018,0.051376499504397315,1.9009880405046926,1.1207130584524574
lambda1_start_expansion96_s393_cont120000,0.054150832572780416,0.030015576372867513,1.8723431699318134,1.0896680271499497
lambda1_start_expansion96_s394_cont120000,0.04534663049300747,0.04961228410413286,1.863539422512264,1.0757209975637987
lambda1_start_expansion96_s395_cont120000,0.07048643914779262,0.04137282737758153,1.8886779329152692,1.0916682780469937
lambda1_start_expansion96_s396_cont120000,0.060823095718227194,0.03345384245394805,1.879015088513082,1.0889833592147413
lambda1_start_expansion96_s397_cont120000,0.043440354743800924,0.030182228773053803,1.8616332452055682,1.0895494201886236
lambda1_start_expansion96_s398_cont120000,0.06394232598861294,0.03780446895340957,1.8821341577024386,1.0898162371623785
