endpoint,row_id,W_lambda1_fiducial
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s305,LHCb_7:12,0.16028332710266113
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s306,LHCb_7:12,0.15994954109191895
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s307,LHCb_7:12,0.16072702407836914
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s308,LHCb_7:12,0.16014766693115234
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s309,LHCb_7:12,0.16006159782409668
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s310,LHCb_7:12,0.16040635108947754
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s311,LHCb_7:12,0.15994596481323242
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s312,LHCb_7:12,0.16026949882507324
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s313,LHCb_7:12,0.1605534553527832
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s314,LHCb_7:12,0.16032934188842773
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s315,LHCb_7:12,0.16037845611572266
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s316,LHCb_7:12,0.16028571128845215
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s317,LHCb_7:12,0.16039180755615234
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s318,LHCb_7:12,0.16033244132995605
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s319,LHCb_7:12,0.16052484512329102
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s320,LHCb_7:12,0.16029572486877441
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s321,LHCb_7:12,0.16024494171142578
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s322,LHCb_7:12,0.16031622886657715
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s323,LHCb_7:12,0.16030001640319824
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s324,LHCb_7:12,0.16031837463378906
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s325,LHCb_7:12,0.15994811058044434
exactbaseline_matched_reference_distance_b0p1_2p0_lam1e00_s326,LHCb_7:12,0.16056084632873535
lambda1_start_expansion48_s327_cont320000,LHCb_7:12,0.16060328483581543
lambda1_start_expansion48_s328_cont240000,LHCb_7:12,0.16070103645324707
lambda1_start_expansion48_s329_cont200000,LHCb_7:12,0.16054677963256836
lambda1_start_expansion48_s330_cont120000,LHCb_7:12,0.16044998168945312
lambda1_start_expansion48_s331_cont120000,LHCb_7:12,0.160722017288208
lambda1_start_expansion48_s332_cont120000,LHCb_7:12,0.16045856475830078
lambda1_start_expansion48_s333_cont120000,LHCb_7:12,0.16004514694213867
lambda1_start_expansion48_s334_cont120000,LHCb_7:12,0.16063523292541504
lambda1_start_expansion48_s335_cont120000,LHCb_7:12,0.16001176834106445
lambda1_start_expansion48_s336_cont120000,LHCb_7:12,0.16066551208496094
lambda1_start_expansion48_s337_cont120000,LHCb_7:12,0.16095852851867676
lambda1_start_expansion48_s338_cont120000,LHCb_7:12,0.1606919765472412
lambda1_start_expansion48_s339_cont120000,LHCb_7:12,0.1606144905090332
lambda1_start_expansion48_s340_cont120000,LHCb_7:12,0.16062068939208984
lambda1_start_expansion48_s341_cont120000,LHCb_7:12,0.16062688827514648
lambda1_start_expansion48_s342_cont120000,LHCb_7:12,0.1604616641998291
lambda1_start_expansion48_s343_cont120000,LHCb_7:12,0.16063523292541504
lambda1_start_expansion48_s344_cont120000,LHCb_7:12,0.16062116622924805
lambda1_start_expansion48_s345_cont120000,LHCb_7:12,0.16051578521728516
lambda1_start_expansion48_s346_cont120000,LHCb_7:12,0.16071128845214844
lambda1_start_expansion48_s347_cont120000,LHCb_7:12,0.16056513786315918
lambda1_start_expansion48_s348_cont120000,LHCb_7:12,0.16073966026306152
lambda1_start_expansion48_s349_cont160000,LHCb_7:12,0.16058063507080078
lambda1_start_expansion48_s350_cont120000,LHCb_7:12,0.16071343421936035
lambda1_start_expansion96_s351_cont120000,LHCb_7:12,0.16055655479431152
lambda1_start_expansion96_s352_cont120000,LHCb_7:12,0.1606886386871338
lambda1_start_expansion96_s353_cont120000,LHCb_7:12,0.16055679321289062
lambda1_start_expansion96_s354_cont120000,LHCb_7:12,0.16044330596923828
lambda1_start_expansion96_s355_cont120000,LHCb_7:12,0.1607215404510498
lambda1_start_expansion96_s356_cont120000,LHCb_7:12,0.16033482551574707
lambda1_start_expansion96_s357_cont120000,LHCb_7:12,0.16004085540771484
lambda1_start_expansion96_s358_cont120000,LHCb_7:12,0.1606287956237793
lambda1_start_expansion96_s359_cont120000,LHCb_7:12,0.16001248359680176
lambda1_start_expansion96_s360_cont120000,LHCb_7:12,0.160660982131958
lambda1_start_expansion96_s361_cont120000,LHCb_7:12,0.16094303131103516
lambda1_start_expansion96_s362_cont120000,LHCb_7:12,0.16072964668273926
lambda1_start_expansion96_s363_cont120000,LHCb_7:12,0.1605982780456543
lambda1_start_expansion96_s364_cont120000,LHCb_7:12,0.16054987907409668
lambda1_start_expansion96_s365_cont120000,LHCb_7:12,0.16053342819213867
lambda1_start_expansion96_s366_cont120000,LHCb_7:12,0.16048073768615723
lambda1_start_expansion96_s367_cont120000,LHCb_7:12,0.1606757640838623
lambda1_start_expansion96_s368_cont120000,LHCb_7:12,0.16062307357788086
lambda1_start_expansion96_s369_cont120000,LHCb_7:12,0.16049790382385254
lambda1_start_expansion96_s370_cont120000,LHCb_7:12,0.1607193946838379
lambda1_start_expansion96_s371_cont120000,LHCb_7:12,0.16054129600524902
lambda1_start_expansion96_s372_cont120000,LHCb_7:12,0.16076087951660156
lambda1_start_expansion96_s373_cont120000,LHCb_7:12,0.160475492477417
lambda1_start_expansion96_s374_cont120000,LHCb_7:12,0.16063833236694336
lambda1_start_expansion96_s375_cont120000,LHCb_7:12,0.1604933738708496
lambda1_start_expansion96_s376_cont120000,LHCb_7:12,0.16068601608276367
lambda1_start_expansion96_s377_cont120000,LHCb_7:12,0.16053342819213867
lambda1_start_expansion96_s378_cont120000,LHCb_7:12,0.160491943359375
lambda1_start_expansion96_s379_cont120000,LHCb_7:12,0.1607189178466797
lambda1_start_expansion96_s380_cont120000,LHCb_7:12,0.1603078842163086
lambda1_start_expansion96_s381_cont120000,LHCb_7:12,0.16001558303833008
lambda1_start_expansion96_s382_cont120000,LHCb_7:12,0.16066551208496094
lambda1_start_expansion96_s383_cont120000,LHCb_7:12,0.16001248359680176
