endpoint,profile,optimizer_success,data_chi2,data_chi2_per_row,total_chi2,total_chi2_per_row,matching_nuisance_sigma,nnlo_scale_nuisance_sigma,max_whitened_pull,min_prediction,max_prediction,all_positive
lambda1_start_expansion48_s327_cont320000,central_0p20_0p30,True,15.127384304113427,3.7818460760283568,26.889950177337305,6.722487544334326,2.5615402571261323,2.2805870701084987,3.200070566582223,0.007829758063041257,0.9517580869907081,True
lambda1_start_expansion48_s327_cont320000,late_0p22_0p32,True,16.487031700456736,4.121757925114184,31.85210975761782,7.963027439404455,3.307538318418506,2.1036321753943503,3.1952793784544795,0.00772694131272016,0.9442341516046047,True
lambda1_start_expansion48_s328_cont240000,early_0p18_0p28,True,11.322827369971083,2.830706842492771,18.242059771147296,4.560514942786824,0.7992525955505946,2.5060781491569357,3.007765125677857,0.007960775970240771,0.980595473575371,True
lambda1_start_expansion48_s328_cont240000,central_0p20_0p30,True,15.37233373870621,3.8430834346765526,27.107181416956905,6.776795354239226,2.560579589054287,2.275583407913073,3.2126674625394767,0.007826850766877062,0.9503941481149781,True
lambda1_start_expansion48_s328_cont240000,late_0p22_0p32,True,16.84221391520567,4.210553478801417,32.26827100262632,8.06706775065658,3.3244111230388182,2.0914941483151304,3.2093474558226323,0.00771988871040808,0.9423347414872082,True
lambda1_start_expansion48_s329_cont200000,early_0p18_0p28,True,11.289701292853337,2.8224253232133343,18.258045087019784,4.564511271754946,0.831236119960962,2.5054720726918296,3.003911662302214,0.007960423819413358,0.9808892498860895,True
lambda1_start_expansion48_s329_cont200000,central_0p20_0p30,True,14.900326148934218,3.7250815372335544,26.68242874838046,6.670607187095115,2.561109946152237,2.285348648054893,3.188146069517543,0.00783252470010795,0.9530528605575785,True
lambda1_start_expansion48_s329_cont200000,late_0p22_0p32,True,16.162582305986483,4.040645576496621,31.460205321773497,7.865051330443374,3.2899617382070887,2.115129966909931,3.182387542451055,0.0077336219166187475,0.9460175037377827,True
lambda1_start_expansion48_s330_cont120000,early_0p18_0p28,True,11.269229499763794,2.8173073749409485,18.266197934524744,4.566549483631186,0.8493987144051779,2.5050928642922163,3.0015006483591025,0.00796020348656862,0.9810730601069784,True
lambda1_start_expansion48_s330_cont120000,central_0p20_0p30,True,14.643167095834325,3.6607917739585814,26.439641957679683,6.609910489419921,2.558977531178862,2.290875129021024,3.1742716040564427,0.007835735771576568,0.9545573577972937,True
lambda1_start_expansion48_s330_cont120000,late_0p22_0p32,True,15.799906826833231,3.949976706708308,31.007468739460872,7.751867184865218,3.2677150853405137,2.128285703016792,3.1673934635377585,0.007741265842133068,0.9480669031165894,True
lambda1_start_expansion48_s331_cont120000,early_0p18_0p28,True,11.322107655683809,2.830526913920952,18.24244930996658,4.560612327491645,0.7999871477585877,2.5060650864859535,3.0076820031883456,0.007960768380389227,0.9806018097973384,True
lambda1_start_expansion48_s331_cont120000,central_0p20_0p30,True,15.361187510176258,3.8402968775440645,27.09745438076701,6.774363595191753,2.560649950673133,2.275816051597413,3.212121968680251,0.007826985940688699,0.9504555371668878,True
lambda1_start_expansion48_s331_cont120000,late_0p22_0p32,True,16.826229090157682,4.2065572725394205,32.24988832834903,8.062472082087258,3.3236642824733327,2.092107782979255,3.2089203064430385,0.007720245252803539,0.9424203851525362,True
lambda1_start_expansion48_s332_cont120000,early_0p18_0p28,True,11.27832624490875,2.8195815612271873,18.262720411978318,4.5656801029945795,0.8414615040372525,2.505261803543281,3.0025748569780015,0.007960301645960167,0.9809911654108606,True
lambda1_start_expansion48_s332_cont120000,central_0p20_0p30,True,14.75462290269866,3.688655725674665,26.545899256904576,6.636474814226144,2.5601308410788675,2.2884506616404745,3.1803039686627295,0.007834327074418288,0.9539000828806795,True
lambda1_start_expansion48_s332_cont120000,late_0p22_0p32,True,15.956082891412521,3.9890207228531303,31.204325024285357,7.801081256071339,3.2777053009696377,2.122472636541723,3.173645408881871,0.00773788825483698,0.9471749913897737,True
lambda1_start_expansion48_s333_cont120000,early_0p18_0p28,True,11.208713597926815,2.8021783994817038,18.284312437661363,4.571078109415341,0.897682177308849,2.5039499891724257,2.994234091860214,0.007959539437653616,0.9816270573356929,True
lambda1_start_expansion48_s333_cont120000,central_0p20_0p30,True,13.996652036424681,3.4991630091061703,25.787855973885115,6.446963993471279,2.5447933870307353,2.3054783787286035,3.1374143709349127,0.007844220751217771,0.9585427326842164,True
lambda1_start_expansion48_s333_cont120000,late_0p22_0p32,True,14.910092354586038,3.7275230886465094,29.821084362088037,7.455271090522009,3.199431517120555,2.162089261514811,3.127534161751738,0.007760906847484572,0.9533815003003491,True
lambda1_start_expansion48_s334_cont120000,early_0p18_0p28,True,11.315279934333319,2.8288199835833296,18.246044485542956,4.561511121385739,0.8068611221260221,2.5059408773574794,3.0068922780218093,0.00796069621070457,0.9806620186646682,True
lambda1_start_expansion48_s334_cont120000,central_0p20_0p30,True,15.257835972672279,3.8144589931680697,27.006458664242494,6.7516146660606235,2.5612085629832864,2.2779010927762657,3.206799675326117,0.007828197419798342,0.9510275867973794,True
lambda1_start_expansion48_s334_cont120000,late_0p22_0p32,True,16.675348971622547,4.168837242905637,32.074321897228344,8.018580474307086,3.3168000129524255,2.097095753580315,3.202624667949288,0.007723143431623213,0.9432197281444404,True
lambda1_start_expansion48_s335_cont120000,early_0p18_0p28,True,11.202587778636081,2.8006469446590203,18.285722050187957,4.571430512546989,0.9021961227478372,2.503832348151658,2.993486370582943,0.007959471084260625,0.9816840606565636,True
lambda1_start_expansion48_s335_cont120000,central_0p20_0p30,True,13.938869892707448,3.484717473176862,25.726375010120783,6.431593752530196,2.542827707297083,2.306844677999712,3.1339822249683325,0.007845014617085389,0.9589147925397637,True
lambda1_start_expansion48_s335_cont120000,late_0p22_0p32,True,14.832258893043349,3.7080647232608372,29.71153839662602,7.427884599156505,3.192352604625446,2.165216929391556,3.123955946640738,0.007762724127801627,0.9538692220679726,True
lambda1_start_expansion48_s336_cont120000,early_0p18_0p28,True,11.319103428884688,2.829775857221172,18.244053122003372,4.561013280500843,0.8030322644996942,2.506010549716656,3.007334866443503,0.007960736692690498,0.9806282801452747,True
lambda1_start_expansion48_s336_cont120000,central_0p20_0p30,True,15.315280032197691,3.828820008049423,27.057170632637934,6.7642926581594836,2.5609313789443657,2.2767347392215793,3.209750731406954,0.007827519729122354,0.9507089058520063,True
lambda1_start_expansion48_s336_cont120000,late_0p22_0p32,True,16.758918414167802,4.1897296035419505,32.17180352773718,8.042950881934296,3.320675261897025,2.0942781378304334,3.2059926603388016,0.007721506302028554,0.9427750745747852,True
lambda1_start_expansion48_s337_cont120000,early_0p18_0p28,True,11.383170070043867,2.845792517510967,18.200108113611734,4.550027028402933,0.728758852498622,2.5071594641092854,3.014640248057092,0.007961404250626311,0.980071351839223,True
lambda1_start_expansion48_s337_cont120000,central_0p20_0p30,True,16.501715797958887,4.125428949489722,28.031443209416054,7.007860802354013,2.5396390400860107,2.2538768727524072,3.2671595104468603,0.007814238539283383,0.9444850317975495,True
lambda1_start_expansion48_s337_cont120000,late_0p22_0p32,True,18.543329292868638,4.635832323217159,34.102942933809445,8.525735733452361,3.3778910433304237,2.037023745646797,3.2712933559859287,0.007688239572925409,0.9338543170815224,True
lambda1_start_expansion48_s338_cont120000,early_0p18_0p28,True,11.327834441787623,2.8319586104469057,18.239291519030374,4.5598228797575935,0.7940869534843171,2.5061689862315246,3.0083426052285844,0.007960828749638781,0.9805514511577255,True
lambda1_start_expansion48_s338_cont120000,central_0p20_0p30,True,15.450934002781736,3.862733500695434,27.175477138511027,6.793869284627757,2.5599815126620094,2.273991598612014,3.2166149953991967,0.007825925872091131,0.9499632680828608,True
lambda1_start_expansion48_s338_cont120000,late_0p22_0p32,True,16.95680647781865,4.239201619454662,32.39971164977808,8.09992791244452,3.3294295627763804,2.0875353789744757,3.2135119974081445,0.007717588532164723,0.9417307396932786,True
lambda1_start_expansion48_s339_cont120000,early_0p18_0p28,True,11.318847143032258,2.8297117857580645,18.24418818879161,4.561047047197903,0.8032906185134786,2.5060058315908975,3.0073052350648415,0.007960733951300616,0.980630538576236,True
lambda1_start_expansion48_s339_cont120000,central_0p20_0p30,True,15.311454846430298,3.8278637116075744,27.05377535746309,6.763443839365772,2.5609598997610927,2.2767970710734065,3.209512489221637,0.007827555946026422,0.9507300101981169,True
lambda1_start_expansion48_s339_cont120000,late_0p22_0p32,True,16.75278660339466,4.188196650848665,32.16453338482762,8.041133346206905,3.3204667178501728,2.0943370208928305,3.205353552499254,0.007721540515069874,0.9428051472067119,True
lambda1_start_expansion48_s340_cont120000,early_0p18_0p28,True,11.31366608573949,2.8284165214348724,18.246868258591146,4.5617170646477865,0.8084613865449586,2.50591148273786,3.006705263943017,0.007960679131441117,0.9806762775786579,True
lambda1_start_expansion48_s340_cont120000,central_0p20_0p30,True,15.233939155470644,3.808484788867661,26.985253304879457,6.746313326219864,2.5613014429802208,2.2783873831278676,3.2055647326266454,0.00782847997086168,0.9511606845865312,True
