qT,A,PreFactor,CS,dA,error,sysNorm,sysP2P,y,y_Low,y_High,QM,QM_Low,QM_High,SqrtS,xF,xF_Low,xF_High,x1,x2,BeamE,frac_error
2.1,0.0095,0.075757576,0.1254,0.0011,0.01452,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.115789474
2.3,0.0072,0.06916996,0.104091429,0.0009,0.013011429,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.125
2.5,0.0039,0.063636364,0.061285714,0.0007,0.011,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.179487179
2.7,0.0033,0.058922559,0.056005714,0.0006,0.010182857,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.181818182
2.9,0.0016,0.054858934,0.029165714,0.0004,0.007291429,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.25
3.1,0.00084,0.051319648,0.016368,0.00036,0.007014857,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.428571429
3.3,0.00083,0.048209366,0.017216571,0.00032,0.006637714,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.385542169
3.5,0.00026,0.045454545,0.00572,0.00018,0.00396,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.692307692
3.7,0.00063,0.042997543,0.014652,0.00028,0.006512,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,0.444444444
4.7,0.00015,0.03384913,0.004431429,0.00015,0.004431429,0.00%,0.00%,0.03,0.028333792,0.031874384,8.5,8,9,27.39342987,0.018620396,0.017525078,0.019715713,0.319743222,0.301122827,400,1
0.1,0.117,1.590909091,0.073542857,0.008,0.005028571,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.068376068
0.3,0.119,0.53030303,0.2244,0.005,0.009428571,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.042016807
0.5,0.109,0.318181818,0.342571429,0.004,0.012571429,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.036697248
0.7,0.094,0.227272727,0.4136,0.003,0.0132,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.031914894
0.9,0.078,0.176767677,0.441257143,0.003,0.016971429,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.038461538
1.1,0.05,0.144628099,0.345714286,0.002,0.013828571,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.04
1.3,0.044,0.122377622,0.359542857,0.002,0.016342857,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.045454545
1.5,0.033,0.106060606,0.311142857,0.002,0.018857143,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.060606061
1.7,0.023,0.093582888,0.245771429,0.002,0.021371429,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.086956522
1.9,0.0151,0.083732057,0.180337143,0.0012,0.014331429,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.079470199
2.1,0.0122,0.075757576,0.16104,0.0011,0.01452,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.090163934
2.3,0.0078,0.06916996,0.112765714,0.0009,0.013011429,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.115384615
2.5,0.0056,0.063636364,0.088,0.0007,0.011,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.125
2.7,0.0044,0.058922559,0.074674286,0.0006,0.010182857,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.136363636
2.9,0.0029,0.054858934,0.052862857,0.0005,0.009114286,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.172413793
3.1,0.00155,0.051319648,0.030202857,0.00036,0.007014857,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.232258065
3.3,0.00138,0.048209366,0.028625143,0.00036,0.007467429,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.260869565
3.5,0.00105,0.045454545,0.0231,0.00032,0.00704,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.304761905
3.7,0.00071,0.042997543,0.016512571,0.00025,0.005814286,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.352112676
3.9,0.00044,0.040792541,0.010786286,0.0002,0.004902857,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.454545455
4.1,0.00051,0.038802661,0.013143429,0.00021,0.005412,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.411764706
4.3,0.00021,0.036997886,0.005676,0.00015,0.004054286,0.00%,0.00%,0.03,0.028500417,0.031666124,9.5,9,10,27.39342987,0.02081103,0.019715713,0.021906348,0.357360072,0.336549042,400,0.714285714
